mode_id,model,total_attempts,successful_attempts,failed_attempts,success_rate,average_time_seconds_success_only,min_time_seconds_success_only,max_time_seconds_success_only,avg_tokens_per_second_success_only,avg_total_duration_ns_success_only,avg_prompt_eval_count_success_only,avg_eval_count_success_only,avg_gpu_utilization_percent_success_only,avg_gpu_memory_used_mib_success_only,avg_gpu_temperature_c_success_only,avg_gpu_power_draw_w_success_only,avg_gpu_energy_wh_success_only,processor,loaded_size,context,done_reason_main_success_only,done_reason_success_only_unique_count,done_reason_success_only_counts,postprocessing_success_only_main,postprocessing_success_only_unique_count,postprocessing_success_only_counts
test_section_6,llama3.1_8b,100,77,23,0.77,21.5974,18.522,26.103,33.3842,19542431194.81,724.0,543.8961,57.7686,5116.0,66.0097,60.5176,0.297344,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 77}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 77}"
test_section_6,ministral-3_3b,100,96,4,0.96,13.2706,11.733,15.1,71.3154,11217974577.08,723.0,755.1042,86.118,4338.0,60.3509,62.1535,0.173367,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 96}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 96}"
test_section_6,qwen3.5_4b,100,100,0,1.0,22.502,18.675,28.734,38.4902,20446244009.0,784.0,726.24,79.9048,5398.0,65.7122,62.5114,0.321412,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_7,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,34,66,0.34,27.9003,25.71,29.989,49.4822,25848850438.24,1358.0,920.6176,93.4936,5122.0,66.2769,62.5271,0.409091,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 34}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 34}"
test_section_7,deepseek-r1_8b,100,100,0,1.0,14.8398,12.835,18.191,40.3089,12781233698.0,711.0,448.52,90.3741,5234.0,61.0537,61.6264,0.196343,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 100}",removed_markdown_code_fences,2,"{""json_parsed_without_cleanup"": 28, ""removed_markdown_code_fences"": 72}"
test_section_7,llama3.1_8b,100,100,0,1.0,16.1412,14.864,24.724,32.9855,14084172241.0,718.0,388.88,57.166,5116.0,63.9461,60.6707,0.213001,8%/92% CPU/GPU,5.6 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
test_section_7,ministral-3_3b,100,72,28,0.72,9.7845,8.691,11.55,71.3028,7729673265.28,717.0,512.6111,84.7799,4338.0,57.8954,62.136,0.115783,100% GPU,4.7 GB,2048,stop,1,"{""stop"": 72}",removed_markdown_code_fences,1,"{""removed_markdown_code_fences"": 72}"
test_section_7,qwen3.5_4b,100,100,0,1.0,16.6804,15.043,19.931,38.5917,14620286270.0,778.0,511.49,79.5328,5398.0,63.9457,62.5973,0.228274,100% GPU,6.1 GB,2048,stop,1,"{""stop"": 100}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 100}"
vocabulary_antonym,Bielik-4.5B-v3.0-Instruct-GGUF_Q8_0,100,99,1,0.99,11.3607,11.135,11.865,47.509,9302438715.15,383.0,343.0606,90.687,5122.0,61.3973,62.6394,0.140348,100% GPU,5.2 GB,2048,stop,1,"{""stop"": 99}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 99}"
vocabulary_antonym,deepseek-r1_8b,100,98,2,0.98,7.6755,7.295,8.165,41.1617,5615454248.98,197.0,191.1531,85.2622,5235.9966,56.7837,62.1979,0.083721,100% GPU,5.7 GB,2048,stop,1,"{""stop"": 98}",json_parsed_without_cleanup,1,"{""json_parsed_without_cleanup"": 98}"
